Country Name, Country Code, Indicator Name, Indicator Code, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019
"Angola", "AGO", "Unmet need for contraception (% of married women ages 15-49)", "SP.UWT.TFRT", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "38", "", "", ""
"Angola", "AGO", "Completeness of death registration with cause-of-death information (%)", "SP.REG.DTHS.ZS", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"Angola", "AGO", "Completeness of birth registration (%)", "SP.REG.BRTH.ZS", "", "35.6", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "25", "", "", ""
"Angola", "AGO", "Completeness of birth registration, urban (%)", "SP.REG.BRTH.UR.ZS", "", "39.9", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "32.9", "", "", ""
"Angola", "AGO", "Completeness of birth registration, rural (%)", "SP.REG.BRTH.RU.ZS", "", "25.8", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "13.6", "", "", ""
"Angola", "AGO", "Completeness of birth registration, male (%)", "SP.REG.BRTH.MA.ZS", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "24.8", "", "", ""
"Angola", "AGO", "Completeness of birth registration, female (%)", "SP.REG.BRTH.FE.ZS", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "25.2", "", "", ""
"Angola", "AGO", "Population, male (% of total population)", "SP.POP.TOTL.MA.ZS", "49.7394433842943", "49.7113229491779", "49.6858000648195", "49.6606430038788", "49.6331352290936", "49.6020707224455", "49.5668838140924", "49.5295943241351", "49.4944236711936", "49.4664385151198", "49.4483424498808", "49.4405354767376", "49.440772186471", "49.4461362804875", "49.4528997776056", "49.4586718442368", "49.4629935107526", "49.4665233513396", "49.4695370662576", "49.472524987118"
"Angola", "AGO", "Population, male", "SP.POP.TOTL.MA.IN", "8155019", "8423958", "8704663", "8999242", "9310252", "9639470", "9987680", "10354340", "10738130", "11137010", "11549277", "11974824", "12413552", "12863801", "13323488", "13791244", "14266355", "14749319", "15241459", "15744779"
"Angola", "AGO", "Population, female (% of total population)", "SP.POP.TOTL.FE.ZS", "50.2605566157057", "50.2886770508221", "50.3141999351805", "50.3393569961212", "50.3668647709064", "50.3979292775545", "50.4331161859076", "50.4704056758649", "50.5055763288064", "50.5335614848801", "50.5516575501192", "50.5594645232624", "50.559227813529", "50.5538637195125", "50.5471002223944", "50.5413281557632", "50.5370064892474", "50.5334766486604", "50.5304629337424", "50.5274750128821"
"Angola", "AGO", "Population, female", "SP.POP.TOTL.FE.IN", "8240458", "8521795", "8814755", "9122235", "9447886", "9794134", "10162225", "10551020", "10957506", "11377265", "11806970", "12245836", "12694373", "13151985", "13618285", "14093136", "14576127", "15067450", "15568328", "16080520"
"Angola", "AGO", "Population, total", "SP.POP.TOTL", "16395477", "16945753", "17519418", "18121477", "18758138", "19433604", "20149905", "20905360", "21695636", "22514275", "23356247", "24220660", "25107925", "26015786", "26941773", "27884380", "28842482", "29816769", "30809787", "31825299"
"Angola", "AGO", "Population growth (annual %)", "SP.POP.GROW", "3.27721534718274", "3.30117378495335", "3.32926238194308", "3.37879436557856", "3.45298754865782", "3.53760476294198", "3.61958411912021", "3.68060116794567", "3.71055489102729", "3.70384181489182", "3.67149333263444", "3.63415021537353", "3.59775453949706", "3.55199742692341", "3.49744741099259", "3.43886936840162", "3.37826943218091", "3.32215836256296", "3.2761445879162", "3.24291402840967"
"Angola", "AGO", "Age dependency ratio, young (% of working-age population)", "SP.POP.DPND.YG", "93.9612702157009", "93.9146685697801", "93.6995407398732", "93.3744327355896", "93.0131947329196", "92.6751739098461", "92.8730643881187", "92.978301391583", "93.0291960485893", "93.0314356154945", "92.9719620758949", "93.3406706356437", "93.5167623120363", "93.5283246795242", "93.3835082087343", "93.0728422156447", "92.8337198054613", "92.4130258407005", "91.8277561242944", "91.0966601716026"
"Angola", "AGO", "Age dependency ratio, old (% of working-age population)", "SP.POP.DPND.OL", "5.10991578787096", "5.12473443016065", "5.12348318641276", "5.10351226947165", "5.06025472915624", "4.9938223365635", "4.95298884668144", "4.88835326100022", "4.81158941876911", "4.7353831647979", "4.66574398352032", "4.64763660146555", "4.62868451959214", "4.6021387847685", "4.55869691187134", "4.49640332371504", "4.46086813229885", "4.4071910929399", "4.34798748465237", "4.29738221103918"
"Angola", "AGO", "Age dependency ratio (% of working-age population)", "SP.POP.DPND", "99.0711860035719", "99.0394029999408", "98.823023926286", "98.4779450050612", "98.0734494620758", "97.6689962464096", "97.8260532348001", "97.8666546525832", "97.8407854673584", "97.7668187802924", "97.6377060594152", "97.9883072371092", "98.1454468316284", "98.1304634642927", "97.9422051206056", "97.5692455393597", "97.2945879377601", "96.8202169336404", "96.1757436089468", "95.3940423826417"
"Angola", "AGO", "Sex ratio at birth (male births per female births)", "SP.POP.BRTH.MF", "", "", "1.02", "", "", "", "", "1.02", "1.022", "1.024", "1.026", "1.028", "1.03", "1.03", "1.03", "1.03", "1.03", "1.03", "1.03", "1.03"
